All CPC Ads Report - Shopee Indonesia
User Name,tomeame.official
Shop Name,Tome Ame Official Shop
Shop ID,336562772
Report Creation Time,18/05/2026 15:21
Date Period,01/03/2026 - 31/03/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
33,Tome Ame - Yurina Boxy Longsleeve Brown - T Shirt Lengan Panjang Oversized 24S,Ongoing,Product Ad,26542698167,-,GMV Max Custom ROAS,All,10/10/2025 00:00:00,Unlimited,167525,5641,3.37%,70,41,1.24%,0.73%,24864.81,42452.11,70,41,16623840,10863486,1740537,9.55,6.24,10.47%,16.02%,-,-,-,0,0
34,Tome Ame - Yujin Longsleeve Lace Pattern - T Shirt Lengan Panjang Motif Renda,Ongoing,Product Ad,26242059455,-,GMV Max Custom ROAS,All,14/11/2025 00:00:00,Unlimited,167409,6730,4.02%,168,129,2.50%,1.92%,11129.22,14493.87,169,129,32705600,24939200,1869710,17.49,13.34,5.72%,7.50%,-,-,-,0,0
35,Tome Ame - Yuna Long Sleeve White on White,Ongoing,Product Ad,26477399439,-,GMV Max Custom ROAS,All,06/03/2025 00:00:00,Unlimited,165479,4797,2.90%,98,67,2.04%,1.40%,17288.28,25287.33,98,67,20746449,13869000,1694251,12.25,8.19,8.17%,12.22%,-,-,-,0,0
36,Tome Ame - Tometo Plaid Button Embroidery  Shirt - Kemeja Lengan Panjang Motif Kotak,Ongoing,Product Ad,41123315274,-,GMV Max Custom ROAS,All,10/10/2025 00:00:00,Unlimited,159427,9567,6.00%,76,60,0.79%,0.63%,25279.97,32021.30,76,60,20910406,17252081,1921278,10.88,8.98,9.19%,11.14%,-,-,-,0,0
37,TOME AME - REN SHORT SLEEVE - KAOS LENGAN PENDEK MOTIF BUNGA,Ongoing,Product Ad,51456236532,-,GMV Max Custom ROAS,All,27/02/2026 00:00:00,Unlimited,156901,3083,1.96%,84,49,2.72%,1.59%,15511.07,26590.40,84,49,17446810,10801240,1302930,13.39,8.29,7.47%,12.06%,-,-,-,0,0
38,Tome Ame - Shinya Short Sleeve - Kaos Polo Lengan Pendek Motif Polkadot,Ongoing,Product Ad,58152858937,-,GMV Max Custom ROAS,All,03/03/2026 00:00:00,Unlimited,154059,5590,3.63%,65,39,1.16%,0.70%,24671.67,41119.44,65,39,14622300,9146500,1603658,9.12,5.70,10.97%,17.53%,-,-,-,0,0
39,TOME AME - NATSUMI SHIRT - KEMEJA STRIPED WANITA LENGAN PANJANG COTTON DOBBY STRIPED,Ongoing,Product Ad,46705540348,-,GMV Max Custom ROAS,All,11/02/2026 00:00:00,Unlimited,145507,7154,4.92%,93,38,1.30%,0.53%,18394.60,45018.37,93,38,26048441,12279791,1710698,15.23,7.18,6.57%,13.93%,-,-,-,0,0
40,Tome Ame - Yuma Long Sleeve - Kaos Lengan Penjang 24S Logo Bunga,Ongoing,Product Ad,56502020199,-,GMV Max Custom ROAS,All,27/11/2025 00:00:00,Unlimited,120807,5947,4.92%,37,36,0.62%,0.61%,19886.42,20438.82,37,36,6381296,6211691,735798,8.67,8.44,11.53%,11.85%,-,-,-,0,0
41,Tome Ame - Yukio Longslevee White - Kaos Lengan Panjang Putih Motif Polkadot,Ongoing,Product Ad,43060213010,-,GMV Max Custom ROAS,All,25/07/2025 00:00:00,Unlimited,120252,3529,2.93%,63,51,1.79%,1.45%,17409.83,21506.26,63,51,12140400,10055800,1096819,11.07,9.17,9.03%,10.91%,-,-,-,0,0
42,Tome Ame - Tsuki Layered Long Sleeve - Kaos Lengan Panjang 24S,Ongoing,Product Ad,43271041323,-,GMV Max Custom ROAS,All,25/09/2025 00:00:00,Unlimited,105707,3783,3.58%,65,29,1.72%,0.77%,30581.39,68544.50,66,29,15357127,7527257,1987791,7.73,3.79,12.94%,26.41%,-,-,-,0,0
