All CPC Ads Report - Shopee Indonesia
User Name,tomeame.official
Shop Name,Tome Ame Official Shop
Shop ID,336562772
Report Creation Time,18/05/2026 15:22
Date Period,01/04/2026 - 30/04/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
63,Tome Ame - Yuma Long Sleeve - Kaos Lengan Penjang 24S Logo Bunga,Ongoing,Product Ad,44852880841,-,GMV Max Custom ROAS,All,24/04/2026 00:00:00,Unlimited,16055,419,2.61%,8,7,1.91%,1.67%,15354.52,17548.03,8,7,1445700,1251500,122836,11.77,10.19,8.50%,9.82%,-,-,-,265552,1413300
64,Tome Ame - Shinya Longsleeve Shirt - Kaos Polo Lengan Motif Polkadot,Ongoing,Product Ad,57102025026,-,GMV Max Custom ROAS,All,27/11/2025 00:00:00,Unlimited,15361,865,5.63%,17,6,1.97%,0.69%,12091.43,34259.04,17,6,3804700,1642850,205554,18.51,7.99,5.40%,12.51%,-,-,-,186791,1324320
65,Tome Ame - Tome Club Boxy Longsleeve Brown - Kaos Lengan Panjang Oversized Coklat 24S,Ongoing,Product Ad,43008297268,-,GMV Max Custom ROAS,All,14/07/2025 00:00:00,Unlimited,12848,433,3.37%,5,4,1.15%,0.92%,21568.03,26960.03,5,4,1080000,888000,107840,10.01,8.23,9.99%,12.14%,-,-,-,28241,444000
66,Tome Ame - Omi Striped Shirt,Ongoing,Product Ad,28177404480,-,GMV Max Custom ROAS,All,06/03/2025 00:00:00,Unlimited,10368,532,5.13%,12,8,2.26%,1.50%,11856.39,17784.59,12,8,3189130,2337280,142277,22.41,16.43,4.46%,6.09%,-,-,-,109932,1357390
67,Tome Ame - Kiki Retro Windbreaker Jacket Black - Jaket Windbreaker Wanita,Ongoing,Product Ad,41310208723,-,GMV Max Custom ROAS,All,25/07/2025 00:00:00,Unlimited,7287,420,5.76%,13,10,3.10%,2.38%,9426.54,12254.50,13,10,4822600,4114100,122545,39.35,33.57,2.54%,2.98%,-,-,-,255811,2870999
68,TOME AME - HINATA PANTS - CELANA PANJANG LAYER BRUKAT WANITA,Ongoing,Product Ad,44954675699,-,GMV Max Custom ROAS,All,24/04/2026 00:00:00,Unlimited,3734,228,6.11%,7,3,3.07%,1.32%,12006.02,28014.04,9,3,2024500,805900,84042,24.09,9.59,4.15%,10.43%,-,-,-,245462,1196150
69,Tome Ame - Runa Crop Tee White on White,Ongoing,Product Ad,26927406568,-,GMV Max Custom ROAS,All,06/03/2025 00:00:00,Unlimited,3139,112,3.57%,2,2,1.79%,1.79%,8073.06,8073.06,2,2,364000,364000,16146,22.54,22.54,4.44%,4.44%,-,-,-,14560,182000
70,Tome Ame - Kinoko Denim Shirt - Kemeja Denim Oversized Lengan Panjang,Ongoing,Product Ad,49802038587,-,GMV Max Custom ROAS,All,12/01/2026 00:00:00,Unlimited,1455,55,3.78%,2,1,3.64%,1.82%,17500.00,35000.00,2,1,542600,324800,35000,15.50,9.28,6.45%,10.78%,-,-,-,72771,324800
71,Tome Ame - White Rabbit Longsleeve,Ongoing,Product Ad,26572364597,-,GMV Max Custom ROAS,All,02/01/2025 00:00:00,Unlimited,979,36,3.68%,1,1,2.78%,2.78%,6728.84,6728.84,1,1,249000,249000,6729,37.00,37.00,2.70%,2.70%,-,-,-,0,0
72,Tome Ame - Fuka Longsleeve Grey,Ongoing,Product Ad,28763632403,-,GMV Max Custom ROAS,All,21/10/2024 00:00:00,Unlimited,329,12,3.65%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,5166,0.00,0.00,0.00%,0.00%,-,-,-,39039,201500
73,Tome Ame - Omi Striped Shirt Black - Kemeja Garis Lengan Panjang Embrodiery,Ongoing,Product Ad,50702904911,-,GMV Max Custom ROAS,All,12/12/2025 00:00:00,Unlimited,196,15,7.65%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,8650,0.00,0.00,0.00%,0.00%,-,-,-,0,0
74,Tome Ame - Kana 07 Boxy Longsleeve Grey,Paused,Product Ad,29027104533,-,GMV Max Custom ROAS,All,23/02/2025 00:00:00,Unlimited,2637,62,2.35%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,48898,0.00,0.00,0.00%,0.00%,-,-,-,26620,193200
